,midi_filename,audio_filename,duration
0,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-alb_se3_AkPnBcht.mid,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-alb_se3_AkPnBcht.wav,250.0778231292517
1,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-bach_846_AkPnBcht.mid,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-bach_846_AkPnBcht.wav,228.05861678004536
2,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-bach_847_AkPnBcht.mid,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-bach_847_AkPnBcht.wav,192.25575963718822
3,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-bk_xmas5_AkPnBcht.mid,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-bk_xmas5_AkPnBcht.wav,395.8281179138322
4,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-chpn-p12_AkPnBcht.mid,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-chpn-p12_AkPnBcht.wav,59.131904761904764
5,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-chpn-p13_AkPnBcht.mid,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-chpn-p13_AkPnBcht.wav,155.48519274376417
6,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-chpn-p14_AkPnBcht.mid,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-chpn-p14_AkPnBcht.wav,29.675668934240363
7,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-chpn-p1_AkPnBcht.mid,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-chpn-p1_AkPnBcht.wav,33.21768707482993
8,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-chpn-p24_AkPnBcht.mid,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-chpn-p24_AkPnBcht.wav,125.21879818594104
9,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-chpn-p3_AkPnBcht.mid,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-chpn-p3_AkPnBcht.wav,53.63766439909297
10,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-chpn-p4_AkPnBcht.mid,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-chpn-p4_AkPnBcht.wav,104.27265306122449
11,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-chpn-p8_AkPnBcht.mid,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-chpn-p8_AkPnBcht.wav,91.15083900226757
12,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-chpn_op25_e2_AkPnBcht.mid,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-chpn_op25_e2_AkPnBcht.wav,91.2688888888889
13,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-chpn_op66_AkPnBcht.mid,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-chpn_op66_AkPnBcht.wav,275.0959410430839
14,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-chp_op31_AkPnBcht.mid,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-chp_op31_AkPnBcht.wav,516.5549433106576
15,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-gra_esp_4_AkPnBcht.mid,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-gra_esp_4_AkPnBcht.wav,284.878231292517
16,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-grieg_waechter_AkPnBcht.mid,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-grieg_waechter_AkPnBcht.wav,148.62167800453514
17,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-grieg_walzer_AkPnBcht.mid,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-grieg_walzer_AkPnBcht.wav,110.44034013605442
18,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-grieg_zwerge_AkPnBcht.mid,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-grieg_zwerge_AkPnBcht.wav,155.51839002267573
19,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-hay_40_1_AkPnBcht.mid,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-hay_40_1_AkPnBcht.wav,396.8679818594104
20,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-muss_5_AkPnBcht.mid,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-muss_5_AkPnBcht.wav,102.44721088435374
21,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-mz_331_2_AkPnBcht.mid,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-mz_331_2_AkPnBcht.wav,367.62897959183675
22,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-schub_d760_1_AkPnBcht.mid,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-schub_d760_1_AkPnBcht.wav,353.89675736961453
23,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-schumm-6_AkPnBcht.mid,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-schumm-6_AkPnBcht.wav,315.4509297052154
24,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-schu_143_1_AkPnBcht.mid,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-schu_143_1_AkPnBcht.wav,749.9702947845805
25,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-scn15_3_AkPnBcht.mid,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-scn15_3_AkPnBcht.wav,33.85879818594104
26,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-scn15_7_AkPnBcht.mid,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-scn15_7_AkPnBcht.wav,130.79913832199546
27,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-scn16_2_AkPnBcht.mid,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-scn16_2_AkPnBcht.wav,442.31712018140587
28,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-ty_juli_AkPnBcht.mid,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-ty_juli_AkPnBcht.wav,114.54809523809524
29,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-ty_mai_AkPnBcht.mid,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-ty_mai_AkPnBcht.wav,194.0467573696145
30,D:\Model\Datasets\Maps\AkPnBsdf\MUS\MAPS_MUS-alb_se3_AkPnBsdf.mid,D:\Model\Datasets\Maps\AkPnBsdf\MUS\MAPS_MUS-alb_se3_AkPnBsdf.wav,250.07780045351473
31,D:\Model\Datasets\Maps\AkPnBsdf\MUS\MAPS_MUS-alb_se4_AkPnBsdf.mid,D:\Model\Datasets\Maps\AkPnBsdf\MUS\MAPS_MUS-alb_se4_AkPnBsdf.wav,219.08614512471655
32,D:\Model\Datasets\Maps\AkPnBsdf\MUS\MAPS_MUS-alb_se7_AkPnBsdf.mid,D:\Model\Datasets\Maps\AkPnBsdf\MUS\MAPS_MUS-alb_se7_AkPnBsdf.wav,154.18648526077098
33,D:\Model\Datasets\Maps\AkPnBsdf\MUS\MAPS_MUS-appass_1_AkPnBsdf.mid,D:\Model\Datasets\Maps\AkPnBsdf\MUS\MAPS_MUS-appass_1_AkPnBsdf.wav,560.6767800453515
34,D:\Model\Datasets\Maps\AkPnBsdf\MUS\MAPS_MUS-bach_850_AkPnBsdf.mid,D:\Model\Datasets\Maps\AkPnBsdf\MUS\MAPS_MUS-bach_850_AkPnBsdf.wav,175.47319727891156
35,D:\Model\Datasets\Maps\AkPnBsdf\MUS\MAPS_MUS-bk_xmas1_AkPnBsdf.mid,D:\Model\Datasets\Maps\AkPnBsdf\MUS\MAPS_MUS-bk_xmas1_AkPnBsdf.wav,385.854126984127
36,D:\Model\Datasets\Maps\AkPnBsdf\MUS\MAPS_MUS-bor_ps6_AkPnBsdf.mid,D:\Model\Datasets\Maps\AkPnBsdf\MUS\MAPS_MUS-bor_ps6_AkPnBsdf.wav,115.03866213151927
37,D:\Model\Datasets\Maps\AkPnBsdf\MUS\MAPS_MUS-br_im5_AkPnBsdf.mid,D:\Model\Datasets\Maps\AkPnBsdf\MUS\MAPS_MUS-br_im5_AkPnBsdf.wav,176.43605442176872
38,D:\Model\Datasets\Maps\AkPnBsdf\MUS\MAPS_MUS-chpn-p19_AkPnBsdf.mid,D:\Model\Datasets\Maps\AkPnBsdf\MUS\MAPS_MUS-chpn-p19_AkPnBsdf.wav,69.22471655328798
39,D:\Model\Datasets\Maps\AkPnBsdf\MUS\MAPS_MUS-chpn-p1_AkPnBsdf.mid,D:\Model\Datasets\Maps\AkPnBsdf\MUS\MAPS_MUS-chpn-p1_AkPnBsdf.wav,33.21768707482993
40,D:\Model\Datasets\Maps\AkPnBsdf\MUS\MAPS_MUS-chpn-p21_AkPnBsdf.mid,D:\Model\Datasets\Maps\AkPnBsdf\MUS\MAPS_MUS-chpn-p21_AkPnBsdf.wav,104.92458049886622
41,D:\Model\Datasets\Maps\AkPnBsdf\MUS\MAPS_MUS-chpn-p4_AkPnBsdf.mid,D:\Model\Datasets\Maps\AkPnBsdf\MUS\MAPS_MUS-chpn-p4_AkPnBsdf.wav,104.27263038548753
