,midi_filename,audio_filename,duration,Unnamed: 0
0,D:\Model\Datasets\Maps\SptkBGAm\MUS\MAPS_MUS-bor_ps2_SptkBGAm.mid,D:\Model\Datasets\Maps\SptkBGAm\MUS\MAPS_MUS-bor_ps2_SptkBGAm.wav,165.06598639455785,183.0
1,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-ty_mai_AkPnBcht.mid,D:\Model\Datasets\Maps\AkPnBcht\MUS\MAPS_MUS-ty_mai_AkPnBcht.wav,194.0467573696145,29.0
2,D:\Model\Datasets\Maps\SptkBGAm\MUS\MAPS_MUS-chpn-e01_SptkBGAm.mid,D:\Model\Datasets\Maps\SptkBGAm\MUS\MAPS_MUS-chpn-e01_SptkBGAm.wav,112.96902494331066,186.0
3,D:\Model\Datasets\Maps\StbgTGd2\MUS\MAPS_MUS-mz_545_3_StbgTGd2.mid,D:\Model\Datasets\Maps\StbgTGd2\MUS\MAPS_MUS-mz_545_3_StbgTGd2.wav,107.76183673469389,259.0
4,D:\Model\Datasets\Maps\AkPnStgb\MUS\MAPS_MUS-grieg_kobold_AkPnStgb.mid,D:\Model\Datasets\Maps\AkPnStgb\MUS\MAPS_MUS-grieg_kobold_AkPnStgb.wav,86.95117913832199,106.0
5,D:\Model\Datasets\Maps\StbgTGd2\MUS\MAPS_MUS-scn15_11_StbgTGd2.mid,D:\Model\Datasets\Maps\StbgTGd2\MUS\MAPS_MUS-scn15_11_StbgTGd2.wav,78.90571428571428,264.0
6,D:\Model\Datasets\Maps\AkPnCGdD\MUS\MAPS_MUS-schu_143_2_AkPnCGdD.mid,D:\Model\Datasets\Maps\AkPnCGdD\MUS\MAPS_MUS-schu_143_2_AkPnCGdD.wav,229.0326757369615,86.0
7,D:\Model\Datasets\Maps\AkPnCGdD\MUS\MAPS_MUS-ty_februar_AkPnCGdD.mid,D:\Model\Datasets\Maps\AkPnCGdD\MUS\MAPS_MUS-ty_februar_AkPnCGdD.wav,164.1543537414966,88.0
8,D:\Model\Datasets\Maps\AkPnStgb\MUS\MAPS_MUS-alb_esp2_AkPnStgb.mid,D:\Model\Datasets\Maps\AkPnStgb\MUS\MAPS_MUS-alb_esp2_AkPnStgb.wav,127.4559410430839,90.0
9,D:\Model\Datasets\Maps\AkPnStgb\MUS\MAPS_MUS-scn15_13_AkPnStgb.mid,D:\Model\Datasets\Maps\AkPnStgb\MUS\MAPS_MUS-scn15_13_AkPnStgb.wav,79.96176870748299,116.0
10,D:\Model\Datasets\Maps\SptkBGCl\MUS\MAPS_MUS-scn16_2_SptkBGCl.mid,D:\Model\Datasets\Maps\SptkBGCl\MUS\MAPS_MUS-scn16_2_SptkBGCl.wav,442.3171201814058,235.0
11,D:\Model\Datasets\Maps\StbgTGd2\MUS\MAPS_MUS-mz_332_2_StbgTGd2.mid,D:\Model\Datasets\Maps\StbgTGd2\MUS\MAPS_MUS-mz_332_2_StbgTGd2.wav,267.722947845805,256.0
12,D:\Model\Datasets\Maps\SptkBGAm\MUS\MAPS_MUS-mendel_op62_5_SptkBGAm.mid,D:\Model\Datasets\Maps\SptkBGAm\MUS\MAPS_MUS-mendel_op62_5_SptkBGAm.wav,159.26034013605442,200.0
