,midi_filename,audio_filename,duration,Unnamed: 0
0,F:\MAPS\AkPnBsdf\MUS\MAPS_MUS-scn16_4_AkPnBsdf.mid,F:\MAPS\AkPnBsdf\MUS\MAPS_MUS-scn16_4_AkPnBsdf.wav,209.22183673469388,55.0
1,F:\MAPS\AkPnBsdf\MUS\MAPS_MUS-mond_1_AkPnBsdf.mid,F:\MAPS\AkPnBsdf\MUS\MAPS_MUS-mond_1_AkPnBsdf.wav,364.4842857142857,49.0
2,F:\MAPS\SptkBGAm\MUS\MAPS_MUS-burg_quelle_SptkBGAm.mid,F:\MAPS\SptkBGAm\MUS\MAPS_MUS-burg_quelle_SptkBGAm.wav,109.4328344671202,185.0
3,F:\MAPS\SptkBGCl\MUS\MAPS_MUS-muss_3_SptkBGCl.mid,F:\MAPS\SptkBGCl\MUS\MAPS_MUS-muss_3_SptkBGCl.wav,88.75675736961452,228.0
4,F:\MAPS\SptkBGCl\MUS\MAPS_MUS-bk_xmas4_SptkBGCl.mid,F:\MAPS\SptkBGCl\MUS\MAPS_MUS-bk_xmas4_SptkBGCl.wav,230.8533106575964,216.0
5,F:\MAPS\AkPnBcht\MUS\MAPS_MUS-bk_xmas5_AkPnBcht.mid,F:\MAPS\AkPnBcht\MUS\MAPS_MUS-bk_xmas5_AkPnBcht.wav,395.8281179138322,3.0
6,F:\MAPS\AkPnStgb\MUS\MAPS_MUS-bor_ps5_AkPnStgb.mid,F:\MAPS\AkPnStgb\MUS\MAPS_MUS-bor_ps5_AkPnStgb.wav,97.32378684807256,98.0
7,F:\MAPS\SptkBGAm\MUS\MAPS_MUS-bor_ps2_SptkBGAm.mid,F:\MAPS\SptkBGAm\MUS\MAPS_MUS-bor_ps2_SptkBGAm.wav,165.06598639455785,183.0
8,F:\MAPS\AkPnBsdf\MUS\MAPS_MUS-br_im5_AkPnBsdf.mid,F:\MAPS\AkPnBsdf\MUS\MAPS_MUS-br_im5_AkPnBsdf.wav,176.43605442176872,37.0
9,F:\MAPS\StbgTGd2\MUS\MAPS_MUS-mz_331_3_StbgTGd2.mid,F:\MAPS\StbgTGd2\MUS\MAPS_MUS-mz_331_3_StbgTGd2.wav,192.18240362811792,255.0
10,F:\MAPS\AkPnStgb\MUS\MAPS_MUS-ty_september_AkPnStgb.mid,F:\MAPS\AkPnStgb\MUS\MAPS_MUS-ty_september_AkPnStgb.wav,164.68596371882086,118.0
11,F:\MAPS\SptkBGCl\MUS\MAPS_MUS-bach_847_SptkBGCl.mid,F:\MAPS\SptkBGCl\MUS\MAPS_MUS-bach_847_SptkBGCl.wav,192.2557823129252,214.0
12,F:\MAPS\SptkBGCl\MUS\MAPS_MUS-liz_rhap09_SptkBGCl.mid,F:\MAPS\SptkBGCl\MUS\MAPS_MUS-liz_rhap09_SptkBGCl.wav,634.8644444444444,226.0
13,F:\MAPS\AkPnStgb\MUS\MAPS_MUS-bk_xmas1_AkPnStgb.mid,F:\MAPS\AkPnStgb\MUS\MAPS_MUS-bk_xmas1_AkPnStgb.wav,385.854126984127,95.0
14,F:\MAPS\AkPnBsdf\MUS\MAPS_MUS-muss_4_AkPnBsdf.mid,F:\MAPS\AkPnBsdf\MUS\MAPS_MUS-muss_4_AkPnBsdf.wav,170.7501133786848,51.0
